fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220909 121532	-0.523617571362411	1116.07884228142	285.325304238504	9	5	20973333.3333333	1
20220909 121554	-0.517362133759889	1139.66573129001	277.658359947818	9	5	21440000	2
20220909 121615	-0.563718222307216	974.758561674389	275.518182216765	8	5	21133333.3333333	3
20220909 121636	-0.549961834191345	1091.14883744332	264.260094068304	8	5	20786666.6666667	4
20220909 121656	-0.536281443585176	1125.27954521938	267.591197500587	8	5	20973333.3333333	5
20220909 121716	-0.581399054432404	1023.85922804679	280.587257250882	8	5	21066666.6666667	6
20220909 121739	-0.57009564628388	957.741699613689	282.745907048084	9	5	20866666.6666667	7
20220909 121801	-0.550211152269912	1065.529515253	280.790886049654	9	5	20786666.6666667	8
20220909 121822	-0.502543306944426	1042.26936753475	266.46554806619	8	5	20706666.6666667	9
20220909 121842	-0.526648111912073	1043.87521812823	286.810368927836	8	5	20920000	10
20220909 121904	-0.59819351859478	1154.98912540279	262.550312164531	9	5	21173333.3333333	11
20220909 121926	-0.538368672149954	1175.93707440319	288.972530726751	9	5	21360000	12
20220909 121948	-0.590572736540344	1001.06869329029	274.806427945732	9	5	20920000	13
20220909 122008	-0.560316165657423	984.793495808117	260.716764069512	8	5	20813333.3333333	14
20220909 122028	-0.581170405358716	1187.11799530793	272.976119246305	8	5	21426666.6666667	15
20220909 122050	-0.511358568278956	1080.68041434963	270.945664005849	9	5	20933333.3333333	16
20220909 122113	-0.521995108097139	1184.71521043513	276.845540624594	9	5	21440000	17
20220909 122136	-0.553395513155946	1160.75446361471	276.9566208066	9	5	21440000	18
20220909 122158	-0.500007597265431	1156.27533894589	277.088671849449	9	5	21440000	19
20220909 122220	-0.55449103897415	1185.03620834635	278.517246038096	8	5	21333333.3333333	20
20220909 122242	-0.590893054598511	1187.5160611604	273.382350806206	9	5	21426666.6666667	21
20220909 122305	-0.524739257097489	1147.06922713401	275.151719330251	9	5	21440000	22
20220909 122328	-0.589648680005848	1181.30952035805	278.811570323353	9	5	21333333.3333333	23
20220909 122352	-0.53453590099259	1180.62437866088	273.311699330223	9	5	21226666.6666667	24
20220909 122413	-0.597907126906293	1159.48540567843	275.107622301254	8	5	21440000	25
20220909 122436	-0.521278502836381	1150.26606896193	276.555744188978	9	5	21440000	26
20220909 122459	-0.595384553477573	1193.17706875157	275.25826547339	9	5	21640000	27
20220909 122522	-0.599964993558557	1199.9992699465	275.417938796649	9	5	21640000	28
20220909 122545	-0.599924217279449	1199.8331104057	275.067987666167	9	5	21640000	29
20220909 122606	-0.591611814880722	1199.96576920198	289.998704350217	8	5	21506666.6666667	30
20220909 122627	-0.500023277345727	1199.94862729068	289.99984445534	8	5	21506666.6666667	31
20220909 122648	-0.552216030689127	1199.86802572527	287.58698015056	8	5	21533333.3333333	32
20220909 122709	-0.549216689484765	1164.47023775265	289.115138935417	8	5	21306666.6666667	33
20220909 122730	-0.569029368320421	1199.86906713573	275.158481895397	8	5	21640000	34
20220909 122752	-0.594268226661308	1199.7996212325	275.147064451781	8	5	21640000	35
20220909 122813	-0.582030956255959	1199.94300380005	275.100412803554	8	5	21640000	36
20220909 122834	-0.50131127318697	1199.96890253493	284.789802560026	8	5	21533333.3333333	37
20220909 122857	-0.500456010850822	1199.97420301392	286.111420805806	9	5	21533333.3333333	38
20220909 122919	-0.597492147405817	1199.99924397443	285.571147248382	9	5	21533333.3333333	39
20220909 122942	-0.527931367492359	1195.83044148765	277.013577437436	9	5	21640000	40
20220909 123005	-0.593425163989752	1195.96986629392	276.438463372989	9	5	21640000	41
20220909 123028	-0.504278845019446	1193.19709674651	277.175714403921	9	5	21640000	42
20220909 123049	-0.598959434154939	1199.96402499978	268.909742844605	8	5	21386666.6666667	43
20220909 123112	-0.502700657166477	1197.05064790025	275.545349322119	9	5	21640000	44
20220909 123135	-0.565343059915187	1195.12516936797	275.575622477368	9	5	21640000	45
20220909 123157	-0.511097621336143	1196.95807675195	275.211285393182	8	5	21640000	46
20220909 123220	-0.50879051075296	1194.34309558599	276.17007856654	9	5	21640000	47
20220909 123242	-0.592553826443515	1196.96747338784	275.371473860124	9	5	21640000	48
20220909 123304	-0.503190481426502	1199.96669093316	275.11610893499	8	5	21640000	49
20220909 123326	-0.505030212276793	1199.50108819285	276.850530883303	9	5	21640000	50
20220909 123348	-0.52895331521101	1198.97323521908	275.045534760201	8	5	21640000	51
20220909 123409	-0.581456827655634	1195.42137070869	275.125650744634	8	5	21640000	52
20220909 123432	-0.50054445816661	1195.51020195028	276.972117673882	9	5	21640000	53
20220909 123455	-0.546279399354593	1199.73522100051	275.400524849028	9	5	21640000	54
20220909 123518	-0.517234842653608	1199.04591504293	275.579840588657	9	5	21640000	55
20220909 123541	-0.578083072906419	1193.84424368314	276.563962061476	9	5	21640000	56
20220909 123603	-0.557924229046466	1198.00912521429	274.952623377373	8	5	21426666.6666667	57
20220909 123626	-0.570111591531003	1199.99364734644	278.007975423841	9	5	21533333.3333333	58
20220909 123647	-0.523995211172537	1199.98556007164	278.330495958856	8	5	21533333.3333333	59
20220909 123708	-0.574248354983614	1196.95775500962	282.31957483445	8	5	21533333.3333333	60
20220909 123730	-0.574233224376534	1199.92537466732	276.145088469319	8	5	21640000	61
20220909 123753	-0.531644057719654	1199.99360508381	275.361708051411	9	5	21640000	62
20220909 123816	-0.544091284106845	1194.55024643035	286.386189220075	9	5	21533333.3333333	63
20220909 123839	-0.538790204402662	1196.40848879109	276.058372275464	9	5	21640000	64
20220909 123901	-0.599992412066741	1194.0092775813	284.34897075383	8	5	21533333.3333333	65
20220909 123924	-0.527068225844235	1197.59526407076	275.64052815638	9	5	21640000	66
20220909 123945	-0.511624356320681	1199.98772129453	272.528651751543	8	5	21426666.6666667	67
20220909 124006	-0.572830825884943	1193.27749757699	286.865446885796	8	5	21533333.3333333	68
20220909 124028	-0.502800969555393	1195.28656983457	275.868314918671	8	5	21640000	69
20220909 124051	-0.504524418444199	1194.87074350263	281.32152999548	9	5	21533333.3333333	70
20220909 124112	-0.528260150784372	1196.96139157649	287.6175744352	8	5	21533333.3333333	71
20220909 124135	-0.571689956121276	1196.15634139755	275.289704612305	9	5	21640000	72
20220909 124158	-0.544222236838816	1199.88813358788	276.409287378503	9	5	21640000	73
20220909 124222	-0.598835312797237	1195.27648007375	275.645051422074	9	5	21640000	74
20220909 124243	-0.577061287955222	1194.20620609128	275.633694873086	8	5	21640000	75
20220909 124306	-0.545577095651163	1194.51659124681	276.397731301403	9	5	21640000	76
20220909 124327	-0.595445840526408	1193.67841447919	276.223043958854	8	5	21640000	77
20220909 124350	-0.595366083384769	1195.05545056297	275.569829160278	9	5	21640000	78
20220909 124412	-0.592979863444008	1193.29087996038	275.273923512918	8	5	21640000	79
20220909 124433	-0.599996684168637	1195.02545787824	275.231297408133	8	5	21640000	80
20220909 124456	-0.58423357465559	1193.582450141	276.155060979369	9	5	21640000	81
20220909 124518	-0.569313092392505	1144.90012076169	276.797597176971	8	5	21440000	82
20220909 124541	-0.564808372085817	1199.99369781863	289.984862315227	9	5	21533333.3333333	83
20220909 124602	-0.518319199499247	1199.98792871656	275.531009704098	8	5	21640000	84
20220909 124626	-0.505608399836295	1196.13613742255	276.841316094322	9	5	21640000	85
20220909 124649	-0.512363569602739	1199.99118484527	275.847779404516	9	5	21640000	86
20220909 124710	-0.527271293950316	1199.70761169722	275.374669948824	8	5	21640000	87
20220909 124731	-0.517808842528793	1194.22477762179	275.29582929795	8	5	21640000	88
20220909 124753	-0.529136086279927	1198.67408851383	276.237436942254	9	5	21640000	89
20220909 124816	-0.599980534026739	1192.57333911037	289.968905122287	9	5	21533333.3333333	90
20220909 124839	-0.568130954889431	1193.74060356118	275.896762587291	9	5	21640000	91
20220909 124902	-0.567956968492114	1199.8884466605	275.228631699858	9	5	21640000	92
20220909 124923	-0.500180861612089	1145.88662386332	275.947680039228	8	5	21440000	93
20220909 124944	-0.57255526033377	1199.83453940199	275.204115746598	8	5	21640000	94
20220909 125005	-0.580847964982653	1194.54362919195	276.537927611005	8	5	21640000	95
20220909 125029	-0.543062435209121	1197.26743707967	275.458311431351	9	5	21640000	96
20220909 125052	-0.579291438138534	1194.60035146927	275.345547020117	9	5	21640000	97
20220909 125113	-0.516061428912423	1199.02216357489	275.250706078102	8	5	21640000	98
20220909 125134	-0.500167579284488	1177.30046906044	275.386003808254	8	5	21440000	99
20220909 125157	-0.530741684765936	1199.97175928791	289.983005410301	9	5	21533333.3333333	100
20220909 125219	-0.586329849723443	1194.96186207019	276.193542139993	8	5	21640000	101
20220909 125240	-0.520572459857432	1196.93716127288	275.197237602966	8	5	21640000	102
20220909 125302	-0.510338961669023	1194.96449025212	277.125493620553	9	5	21640000	103
20220909 125326	-0.51017861576994	1199.72225123832	275.442803302722	9	5	21640000	104
20220909 125347	-0.594404162143184	1199.99365149742	260.004397740443	8	5	21386666.6666667	105
20220909 125408	-0.510171720192899	1194.60586004678	275.498582148676	8	5	21640000	106
20220909 125431	-0.513126728581759	1195.14640432948	275.555050521747	9	5	21640000	107
20220909 125452	-0.542665609070862	1194.23839374821	289.995720057332	8	5	21506666.6666667	108
20220909 125515	-0.599964902991561	1134.98912794342	276.420339934474	9	5	21440000	109
20220909 125539	-0.599941884053368	1143.54200137752	289.967147002297	9	5	21333333.3333333	110
20220909 125600	-0.57831124692632	1196.60337256108	276.151466922251	8	5	21640000	111
20220909 125622	-0.582820999512697	1193.94646502089	276.093715000432	8	5	21640000	112
20220909 125643	-0.574977010763559	1195.00113567344	276.421016355083	8	5	21640000	113
20220909 125704	-0.576196548042695	1199.99824051273	275.378893412259	8	5	21640000	114
20220909 125727	-0.590333155826578	1193.86570276114	276.340179144091	9	5	21640000	115
20220909 125750	-0.581474659080679	1194.27149334776	276.306424623966	9	5	21640000	116
